User-ID,";""BOOK TITLE""",";""Book-Rating"""
276725;,INTRODUCTION TO COMPUTER NETWORKING,"""0"""
276726;,INTRODUCTION TO COMPUTER NUMERICAL CONTROL (CNC),"""5"""
276727;,HOW THE COMPUTER WORKS,"""0"""
276729;,THE ESSENTIALS OF COMPUTER ORGANIZATION AND ARCHITECTURE,"""3"""
276729;,PRINCIPLES OF COMPUTER SECURITY,"""6"""
276733;,MANAGEMENT INFORMATION SYSTEM AND COMPUTER APPLICATIONS,"""0"""
276736;,PRINCIPLES OF COMPUTER SECURITY,"""8"""
276737;,INTRODUCTION TO COMPUTER FUNDAMENTALS,"""6"""
276744;,LOGIC AND LANGUAGE MODELS FOR COMPUTER SCIENCE,"""7"""
276745;,INTRODUCTION TO COMPUTER SCIENCE,"10"""
276746;,FUNDAMENTALS OF LOGIC AND COMPUTER DESIGN,"""0"""
276746;,PROGRAMMED COMPUTER LEARNING 2,"""0"""
276746;,IBM PERSONAL COMPUTER TROUBLE SHOOTING & REPAIR,"""0"""
276746;,INTRODUCTION TO COMPUTER CONCEPTS,"""0"""
276746;,"COMPUTER PROGRAMMING VOL.II: INNOVATIVE TRAINING WORKS, INC., 1ST ED.","""0"""
276746;,"COMPUTER PROGRAMMING VOL.II: INNOVATIVE TRAINING WORKS, INC., 1ST ED.","""0"""
276747;,AN INTRODUCTION TO PROGRAMMING WITH C++ 8TH ED.,"""9"""
276747;,AN INTRODUCTION TO PROGRAMMING USING ALICE 2.2,"""0"""
276747;,FUNDAMENTALS OF USING PROGRAMMING: C/C++ LANGAUAGE,"""0"""
276747;,AN INTRODUCTION TO PROGRAMMING USING ALICE 2.2,"""9"""
276747;,JAVA AN INTRODUCTION TO PROBLEM SOLVING & PROGRAMMING,"""8"""
276747;,JAVA PROGRAMMING : CONCEPT AND APPLICATION,"""7"""
276747;,BEGINNING MICROSOFT SQL SERVER 2012 PROGRAMMING,"""0"""
276747;,3D GAME PROGRAMMING WITH DIRECTX 11,"""7"""
276748;,Introduction to VISUAL BASIC 2008 PROGRAMMING,"""6"""
276748;,C++ PROGRAMMING: PROBLEM ANALYSIS TO PROGRAM DESIGN(LAB,"""0"""
276751;,AN INTRODUCTION TO PROGRAMMING USING VISUAL BASIC 2010,"""0"""
276751;,VISUAL BASIC 6: INTRODUCTION TO PROGRAMMING WITH WORKBOOK,"""8"""
276754;,INTRODUCTION TO VISUAL BASIC 2008 PROGRAMMING ,"""8"""
276755;,C ++ PROGRAMMING- LAB MANUAL,"""5"""
276760;,LINEAR PROGRAMMING,"""10"""
276762;,PHP 6/MySQL PROGRAMMING FOR THE ABSOLUTE BEGINNER,"""0"""
276762;,WEB APPLICATION: PROGRAMMING LANGUAGE,"""0"""
276762;,A COMPREHENSIVE INTRODUCTION TO OBJECT-ORIENTED PROGRAMMING,"""5"""
276762;,JAVA PROGRAMMING,"""0"""
276762;,Programming and Customizing the PIC Microcontroller,"""0"""
276762;,OBJECT-ORIENTED PROGRAMMING USING C++,"""0"""
276762;,PROGRAMMING LOGIC AND DESIGN,"""0"""
276762;,JAVA PROGRAMMING,"""0"""
276762;,ABSOLUTE C++ PROGRAMMING,"""0"""
276762;,JAVA PROGRAMMING,"0"""
276762;,INTRODUCTION TO FOXPRO DATA PROGRAMMING ( FOR DOS WINDOWS ENVIRONMENT),"""0"""
276762;,VISUAL BASIC.NET PROGRAMMING,"""0"""
276762;,INTRODUCTION TO TURBO C PROGRAMMING,"""0"""
276762;,INTRODUCTION TO TURBO PASCAL PROGRAMMING,"""8"""
276762;,INTRODUCTION TO TURBO C PROGRAMMING,"""0"""
276762;,C++ PROGRAMMING:  From PROBLEM ANALYSIS TO PROGRAM DESIGN(LAB,"""0"""
276762;,AN INTRODUCTION TO PROGRAMMING WITH C++,"""0"""
276762;,PROGRAMMING FOR DESIGN,"""0"""
276762;,SALAYSAY AT SAYSAY: READING IN PHILIPPINE HISTORY,"""3"""
276762;,READINGS IN PHILIPPINE HISTORY,"""0"""
276762;,READING IN PHILIPPINE HISTORY,"""0"""
276762;,READINGS IN PHILIPPINE HISTORY,"""0"""
276762;,MATHEMATICS IN THE MODERN WORLD,"""0"""
276762;,MATHEMATICS IN THE MODERN WORLD,"""0"""
276762;,UNDERSTANDING THE SELF,";""4"""
276765;,UNDERSTANDING THE SELF,"""0"""
276768;,UNDERSTANDING THE SELF,"""4"""
276772;,UNDERSTANDING THE SELF,"""0"""
276772;,UNDERSTANDING THE SELF: DEVELOPING LIFE SKILLS,"""7"""
276772;,UNDERSTANDING THE SELF 1ST EDITION,"""0"""
276772;, A COURSE MODULE FOR GENDER AND SOCIETY: A HUMAN ECOLOGICAL APPROACH,"""10"""
276772;,A COURSE MODULE FOR TEACHING PHYSICAL EDUCATION AND HEALTH IN THE ELEMENTARY GRADES,"""10"""
276774;,PHYSICAL EDUCATION: MOVEMENT ENHANCEMENT,"""0"""
276774;,ESSENTIALS OF PHYSICAL EDUCATION 1 & 2,"""0"""
276774;,PHYSICAL EDUCATION 1: FOR COLLEGE,"""0"""
276774;,PHYSICAL EDUCATION I PHYSICAL FITNESS AND GYMNASTICS,"""9"""
276774;,TEACHING PHYSICAL EDUCATION IN THE PHILIPPINE SCHOOL,"""0"""
276780;,PHYSICAL EDUCATION HANDBOOK,"""0"""
276780;,PHYSICAL EDUCATION HEALTH AND MUSIC,"""7"""
276780;,NATIONAL SERVICE TRAINING PROGRAM,"""7"""
276786;,NATIONAL SERVICE TRAINING PROGRAM,"""6"""
276786;,NATIONAL SERVICE TRAINING PROGRAM (ROTC 1),"""0"""
276786;,NATIONAL SERVICE TRAINING PROGRAM,"""0"""
276786;,NSTP (CWTS AND ROTC ),"""0"""
276786;,NATIONAL SERVICE TRAINING PROGRAM (LITARACY TRAINING SERVICE 1),"""0"""
276786;,FUNDAMENTALS OF DISCRETE MATHEMATICS,"""0"""
276786;,DISCRETE MATHEMATICS,"""8"""
276786;,DISCRETE MATHEMATICS,"""0"""
276786;,DISCRETE MATHEMATICS,"""6"""
276786;,CONTINUOUS AND DISCRETE CONTROL SYSTEMS,"""0"""
276786;,"COMPUTER PROGRAMMING VOL.II: INNOVATIVE TRAINING WORKS, INC., 1ST ED.","""6"""
276786;,PURPOSIVE COMMUNICATION,"""0"""
276788;,PURPOSIVE COMMUNICATION: ENGAGING ENGLISH FOR THE 21ST CENTURY LEARNERS,"""8"""
276788;,PURPOSIVE COMMUNICATION: TASK BASED APPROACH,"""7"""
276788;,COMMUNICATION FOR SOCIETY (PURPOSIVE COMMUNICATION),"""10"""
276796;,PURPOSIVE COMMUNICATION: IN LOCAL AND GLOBAL CONTEXT,"""5"""
276796;,PURPOSIVE COMMUNICATION,"""0"""
276798;,PURPOSIVE COMMUNICATION,"""5"""
276798;,MODULAR APPROACH TO ART APPRECIATION,"""0"""
276798;,ART APPRECIATION 2019 EDITION,"""7"""
276798;,ART APPRECIATION FOR NEW GENERAL EDUCATION CURRICULUM,"""0"""
276798;,ART APPRECIATION,"""0"""
276798;,LIVING IN THE INFORMATION ERA,"""0"""
276798;,LIVING IN THE INFORMATION ERA,"""0"""
276798;,SIMPLIFIED COLLEGE ALGEBRA,"""0"""
276798;,COLLEGE ALGEBRA,"""0"""
276798;,COLLEGE ALGEBRA,"""6"""
276798;,COLLEGE ALGEBRA,"""0"""
276798;,COLLEGE ALGEBRA,"""0"""
276800;,ALGEBRA AND TRIGONOMETRY,"""0"""
276800;,COLLEGE ALGEBRA,"""0"""
276800;,COLLEGE ALGEBRA,"""0"""
276800;,ALGEBRA CONCEPTS AND PROCESSES,"""0"""
276800;,INTERMEDIATE ALGEBRA,"""0"""
276800;,A COURSE IN FRESHMAN ALGEBRA,"""7"""
276803;,COLLEGE ALGEBRA AND TRIGONOMETRY,"""0"""
276804;,EXPLORING MATHEMATICS: ADVANCED ALGEBRA AND TRIGONOMETRY,"""0"""
276804;,A COURSE IN FRESMAN ALGEBRA,"""0"""
276804;,HOW TO SOLVE WORD PROBLEMS IN ALGEBRA,"""8"""
276806;,COLLEGE ALGEBRA: With Recreational Mathematics,"""0"""
276806;,MODERN COLLEGE ALGEBRA,"""0"""
276808;,COLLEGE ALGEBRA AND TRIGONOMETRY,"""10"""
276811;,COLLEGE ALGEBRA EASY CRASH COURSE,"""10"""
276812;,COLLEGE ALGEBRA,"""8"""
276813;,INTERMEDIATE ALGEBRA : A JUST-IN-TIME APROACH,"""0"""
276813;,COLLEGE ALGEBRA,"""0"""
